iso3c,country,region,income_group,income_group_2,cluster_pimsa,peq_estado,excl_tamaño,ocde,ref_area.label,n_ocup_totales,n_tcp_fliares_totales,n_tcp_fliares_calif_baja,n_tcp_fliares_no_agro,n_no_agro_calif_baja,prop_ocup_totales,prop_tcp_fliares_totales,prop_tcp_fliares_calif_baja,prop_tcp_fliares_no_agro,prop_no_agro_calif_baja,prop_tcp_fliares_no_agro_calif_baja
NPL,Nepal,South Asia,Lower middle income,03 Medios-bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Nepal,7397.457,2948.464,199.54000000000002,1800.2030000000002,909.7230000000001,0.3775775187101599,39.85780518899941,2.7054070177341507,24.33543040534065,12.334227000983514,0.9683072050263526
NRU,Nauru,East Asia & Pacific,High income,01 Altos ingresos,,Peq. estado,Excluíble,No OCDE,Nauru,3.6270000000000002,0.218,0.055,0.174,0.753,0.00018512762701584475,6.010476978218914,1.5260821309655936,4.797353184449958,20.772413793103446,1.7400306844388562
PAK,Pakistan,South Asia,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Pakistan,51519.9486,29320.778899999998,1114.4093,11044.326000000001,6226.859200000001,2.6296569694778857,56.91150650720951,2.1638491252244965,21.436989554760544,11.813584621200958,0.4000188854854923
PAN,Panama,Latin America & Caribbean,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Panama,1703.1135000000002,540.0264,59.31699999999999,356.17199999999997,258.5377272727273,0.08692951772639919,31.708186213073876,3.4335536022074433,20.912992586812326,15.928564191371848,2.0848455179099963
PER,Peru,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Peru,16755.325272727274,8190.553545454545,2896.6633636363636,4801.901272727272,3243.306363636364,0.8552174269695648,48.883285833825916,17.407760435435254,28.65895585174554,19.40394860058495,7.05815685277389
PHL,Philippines,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Philippines,39733.863,14412.038999999999,3588.7948181818183,7649.590625,6202.054625000001,2.0280771351978695,36.271426717306596,9.346055658762337,19.252068758076707,15.72437379150405,1.546951701699433
PLW,Palau,East Asia & Pacific,Upper middle income,02 Medios-altos ingresos,,No peq. estado,Excluíble,No OCDE,Palau,8.535,0.514,0.138,0.40800000000000003,1.2530000000000001,0.0004356394531514295,6.022261277094318,1.6100805040252013,4.780316344463972,14.562993956299398,1.5478709262739347
PRI,Puerto Rico,Latin America & Caribbean,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Puerto Rico,1061.894,124.853,6.916,121.105,34.19,0.05420069378614927,11.75757655660546,0.6472110314106974,11.40462230693459,3.220428385735546,0.6432961484163615
PRT,Portugal,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Portugal,4711.704090909091,941.3773636363636,28.707636363636365,615.6554545454545,502.1338181818182,0.24049258272700524,19.97955188766388,0.6125979250928206,13.0665135727288,10.715133185309133,0.37759798236406555
PRY,Paraguay,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Paraguay,3122.3070909090907,1232.346090909091,161.8868181818182,656.0356363636364,518.7181818181817,0.15936732907492288,39.46908664100305,5.195069308871159,21.011246404101307,16.63482302640371,2.9774826989618965
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,03 Medios-bajos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,"Palestine, State of",860.3687272727274,214.24154545454547,19.342363636363636,162.79981818181818,123.66300000000001,0.043914535659951064,24.901131185191634,2.3613007963338943,18.922098516745884,15.096487393430381,1.077920922428385
ROU,Romania,Europe & Central Asia,High income,01 Altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Romania,8661.405818181818,2605.5718181818183,371.6314545454545,485.12781818181816,560.7042727272727,0.4420913994323769,30.082550949318914,4.3264498550429655,5.601028613200981,6.527490306893105,0.8075638919085879
RUS,Russian Federation,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Russian Federation,69907.5706,4035.7027000000003,157.345,2312.9461,5908.035181818182,3.5681893177889807,5.772912240208788,0.22507406023007887,3.308577426090673,8.609655850915606,0.09254249850435396
RWA,Rwanda,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Rwanda,4075.4625,1989.12675,115.76275000000001,722.7385,666.096,0.20801783887980757,48.8073868916718,2.843114627343416,17.733901367022764,15.648180004249774,0.5378932911126039
SEN,Senegal,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Senegal,3695.2847500000003,2482.57025,172.25933333333333,1311.52975,345.06,0.18861298508832067,67.18210957897088,9.480863910788024,35.491980692421606,18.99895661558029,14.030711337375797
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Solomon Islands,356.095,248.482,4.329,105.083,7.22,0.018175633400112277,69.77969362108426,1.2159600016853223,29.509821817211694,1.9897316618117582,0.42092245633096975
SLE,Sierra Leone,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Sierra Leone,2372.197,2001.201,91.7125,700.81,111.711,0.12108056284094454,84.36065807350738,3.8804912362355477,29.542656027302957,4.69359454655497,3.279718192877714
SLV,El Salvador,Latin America & Caribbean,Lower middle income,03 Medios-bajos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,El Salvador,2655.2707,963.4441,209.1873,715.3385999999999,467.83209999999997,0.13552907741265535,36.28421388448266,7.9033933609581,26.940326649181188,19.209104516181434,3.926581923350388
SOM,Somalia,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Somalia,1033.801,471.935,220.788,275.358,274.554,0.052766784101628696,45.65046851376619,21.809733320030784,26.635493678183714,27.12078376984762,12.416457273781976
SRB,Serbia,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Serbia,2560.151272727273,691.3961818181818,44.20918181818182,250.49890909090908,176.73981818181818,0.1306740363720967,27.006067539190862,1.735913331447856,9.784535459268314,6.938416042791856,0.4531896503092813
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,Excluíble,No OCDE,Sao Tome and Principe,25.478,12.097,1.098,6.099,2.094,0.0013004360852246187,47.480178977941755,4.016387446045798,23.938299709553338,8.279625163101498,2.8379439009694334
SUR,Suriname,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Suriname,178.025,34.142,6.018000000000001,25.499000000000002,14.271,0.00908666826564537,19.178205308243225,3.386968781130228,14.323269203763516,10.92146078651456,1.9465156998752906
SVK,Slovak Republic,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Slovakia,1937.408818181818,246.12372727272725,10.696272727272728,233.50081818181818,142.78772727272727,0.09888830909003919,12.703757976269804,0.5252535678015666,12.052222328633226,7.87267011864905,0.4644409936116498
SVN,Slovenia,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Slovenia,938.0424545454546,150.14881818181817,21.506181818181815,90.62572727272727,50.3650909090909,0.04787912149162349,16.006612222532667,2.3131621968000706,9.66115412299133,5.431864376734604,0.33433643284817693
SWE,Sweden,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Sweden,4773.963545454546,490.4919090909091,11.976363636363637,433.04254545454546,237.6151818181818,0.24367040050459027,10.274311992975381,0.25104131935457114,9.070922752790187,5.004188461748031,0.22444209835313975
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Eswatini,284.033,96.707,6.851,79.262,40.664,0.014497478710833038,34.04780430442941,2.4109147470140693,27.90591234117162,14.252367566961311,1.6006116070234906
SYC,Seychelles,Sub-Saharan Africa,High income,01 Altos ingresos,,Peq. estado,Excluíble,No OCDE,Seychelles,42.41266666666667,4.613,0.3561666666666667,4.081499999999999,5.911833333333333,0.0021648073712197454,10.876467721906979,0.8427387233908304,9.623304358760747,13.783388900546345,0.7813801258565443
TCD,Chad,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Chad,4296.825,3865.4919999999997,26.62,880.987,81.753,0.21931651942441605,89.96158791665938,0.6342383897683196,20.50320876461108,1.9476036420638363,0.5724834908490762
TGO,Togo,Sub-Saharan Africa,Low income,04 Bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Togo,2514.2563333333333,1999.6813333333332,48.84,1010.8323333333333,69.697,0.1283314884752023,79.53370970263043,2.2601034816422128,40.20402852056055,3.6510427266343513,1.4083800440866097
THA,Thailand,East Asia & Pacific,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Thailand,37505.825125,18734.282375,762.682,7973.2474999999995,3098.462,1.9143546745692026,49.95032721600468,2.033549546719654,21.258691079123405,8.125272772633302,0.7360210700176708
TJK,Tajikistan,Europe & Central Asia,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Tajikistan,1813.9389999999999,574.5944999999999,169.4765,234.648,182.26000000000002,0.09258622073931468,31.67661646835974,9.761231364334195,12.935826397690331,9.09077759417105,2.1093013576927824
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Timor-Leste,338.43525,236.667,31.531000000000002,68.62975,18.1865,0.01727425275186495,69.92977238629841,9.365738612693843,20.278546634843742,5.126409047217704,2.6286118073155635
TON,Tonga,East Asia & Pacific,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,Excluíble,No OCDE,Tonga,34.295500000000004,15.4315,0.157,5.8740000000000006,1.4065,0.001750494770422361,44.99569914420259,0.4587759157254941,17.12761149421936,4.130872138273345,0.047372936631379266
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Trinidad and Tobago,614.202,106.39099999999999,14.499714285714287,94.19628571428572,110.75057142857143,0.03134980942056406,17.32182571857467,2.366894538195785,15.33636909588144,18.09301430046735,1.9385768233916896
TUN,Tunisia,Middle East & North Africa,Lower middle income,03 Medios-bajos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Tunisia,3195.5717777777777,672.4371111111111,68.84966666666666,396.9907777777778,471.13,0.1631068707413301,21.042779129146286,2.1753327759202605,12.423153206524056,15.55223891682632,0.9733471539602767
TUR,Turkiye,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,OCDE,Türkiye,25735.544727272725,7744.974818181818,1146.783181818182,2800.4416363636365,2685.8604545454546,1.3135815619851487,30.09446623437598,4.456028525443962,10.881610107890682,10.436384892748283,0.8371981955025557
TUV,Tuvalu,East Asia & Pacific,Upper middle income,02 Medios-altos ingresos,,No peq. estado,Excluíble,No OCDE,Tuvalu,3.1055,0.7165,0.013,0.2475,0.257,0.00015850946945070467,23.071969087103525,0.4050264825007789,7.9697311222025435,8.064010040790711,0.09117114341988963
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,"Tanzania, United Republic of",15271.155666666667,12131.069333333333,1357.0006666666666,3187.061,1191.27,0.7794631404355032,79.43779500468716,9.808044307764183,20.86980887082831,8.523663737946418,5.557077762772366
UGA,Uganda,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Uganda,12956.819166666666,10109.609666666665,395.1666666666667,1941.8513333333333,722.131,0.6613358660045257,78.02539756574771,3.054156939458057,14.987099135635335,5.598780297222694,0.5545265718673195
URY,Uruguay,Latin America & Caribbean,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Uruguay,1602.9214545454545,378.56654545454546,57.96354545454546,329.8797272727272,263.26354545454546,0.08181556249594325,23.61728607356477,3.6399721635318296,20.57990591724111,16.53234901531185,2.787090511906508
USA,United States,North America,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,United States of America,147129.11963636364,9639.618181818181,781.4021818181817,8810.507727272729,12629.77681818182,7.509695280730721,6.551808510540225,0.5310995809755628,5.98828277437417,8.584144416315432,0.46576461559393306
VEN,"Venezuela, RB",Latin America & Caribbean,99_Sin_datos,99_Sin_datos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,"Venezuela, Bolivarian Republic of",12612.966333333332,4905.958833333333,12.198500000000001,4363.269833333333,52.47,0.6437850915138517,38.89615419306994,0.09716512313323941,34.59352636026751,0.41827526780139784,0.09169436108138894
VNM,Vietnam,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Viet Nam,52075.02572727273,30562.608090909092,15835.774272727273,9983.00818181818,3500.8661818181818,2.6579889549707927,58.6895688750526,30.456445141505316,19.17043350895529,6.733740757445028,1.9789090487800751
VUT,Vanuatu,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,Excluíble,No OCDE,Vanuatu,93.99833333333333,61.91866666666667,4.366333333333333,11.194666666666668,5.732666666666667,0.004797818691327372,65.87208993067253,4.651121502959547,11.909431018280468,6.024661949134731,1.4796307088219929
WLF,,,,,,,,,Wallis and Futuna,3.394,0.34750000000000003,0.0,0.3395,0.6379999999999999,0.00017323495067322225,10.238656452563347,0.0,10.002946375957572,18.84785819793205,0.0
WSM,Samoa,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,Excluíble,No OCDE,Samoa,48.983000000000004,20.237333333333336,0.4549999999999999,3.7916666666666665,2.550333333333333,0.0025001672330072023,41.315014052494405,0.9280411193603654,7.740780815112725,5.197866775366011,0.25751555271423365
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,04 Bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Yemen,4173.68,1775.99,45.846000000000004,946.4240000000001,305.371,0.2130310102904579,42.55213624427363,1.1018397883706226,22.676007743765695,9.18580030387612,1.170431195870616
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,02 Medios-altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,South Africa,15343.43509090909,1519.1598181818183,551.6489090909091,1499.1889090909092,3847.5067272727274,0.7831523927906373,9.90104112397825,3.6465609475689225,9.770881814980084,25.43715620080904,3.8019355318738617
ZMB,Zambia,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Zambia,5380.123666666666,3959.245666666667,214.87,1009.5769999999999,313.58500000000004,0.27460974013283307,73.59023531739142,4.016110796585026,18.764940409362335,6.16830926738382,1.2659653455299946
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Zimbabwe,5536.656333333333,4038.469333333333,257.943,807.4426666666667,456.2963333333333,0.28259940683546947,72.94058164708193,4.6638091007768105,14.583579295060694,8.246446451222381,1.6140961383373018
TKL,,,,,,,,,Tokelau,,,0.0,,,,,0.0,,,
ABW,Aruba,Latin America & Caribbean,High income,01 Altos ingresos,,Peq. estado,Excluíble,No OCDE,Aruba,,,,,6.302,,,,,13.672654690618762,
BMU,Bermuda,North America,High income,01 Altos ingresos,,Peq. estado,Excluíble,No OCDE,Bermuda,,,,,1.036,,,,,2.894258974717139,
CUB,Cuba,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Cuba,,,,,647.5606666666666,,,,,18.01281743399489,
CYM,Cayman Islands,Latin America & Caribbean,High income,01 Altos ingresos,,Peq. estado,Excluíble,No OCDE,Cayman Islands,,,,,2.5625999999999998,,,,,11.993597423992812,
DZA,Algeria,Middle East & North Africa,Lower middle income,03 Medios-bajos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Algeria,,,,,1287.0,,,,,12.714878482513337,
IMN,Isle of Man,Europe & Central Asia,High income,01 Altos ingresos,,Peq. estado,Excluíble,No OCDE,Isle of Man,,,,,2.8305,,,,,8.053433485553326,
MAC,"Macao SAR, China",East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,"Macau, China",,,,,17.3,,,,,67.44639376218323,
MYS,Malaysia,East Asia & Pacific,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Malaysia,,,,,1051.7833333333333,,,,,8.996393288380116,
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Nigeria,,,,,1639.85,,,,,3.0102409872437628,
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Papua New Guinea,,,,,549.194,,,,,37.940051024813975,
POL,Poland,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Poland,,,,,990.8538181818182,,,,,6.277441002758381,
QAT,Qatar,Middle East & North Africa,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Qatar,,,,,315.41200000000003,,,,,22.464762148956936,
REU,,,,,,,,,Réunion,,,,,13.69,,,,,5.891694389333838,
SGP,Singapore,East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Singapore,,,,,132.1,,,,,13.074954399558845,
UKR,Ukraine,Europe & Central Asia,Lower middle income,03 Medios-bajos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Ukraine,,,,,1422.2104444444444,,,,,7.962403607541148,
